alpha,CL,CD
-5,0.3267,0.2072
-4,0.4132,0.1848
-3,0.5193,0.1613
-2,0.6248,0.1457
-1,0.7332,0.1354
0,0.8278,0.1288
1,0.93,0.1244
2,1.0402,0.1266
3,1.1381,0.1322
4,1.2367,0.1383
5,1.332,0.1472
6,1.4242,0.1585
7,1.5125,0.172
8,1.5988,0.1902
9,1.6783,0.2105
10,1.7571,0.2348
11,1.8295,0.2611
12,1.8868,0.2911
13,1.9366,0.3245
14,1.9802,0.3607
15,2.0258,0.404
