alpha,CL,CDp
-5,0.2128,0.1829
-4,0.2218,0.1666
-3,0.2533,0.1512
-2,0.3901,0.1305
-1,0.4809,0.1122
0,0.5699,0.0964
1,0.6618,0.0876
2,0.7435,0.0867
3,0.8169,0.0892
4,0.8883,0.0918
5,0.9501,0.0961
6,1.0106,0.1037
7,1.0708,0.1109
8,1.13,0.1194
9,1.1849,0.128
10,1.2345,0.1396
11,1.2824,0.1527
12,1.3275,0.1695
13,1.3727,0.1859
14,1.4066,0.2076
15,1.4413,0.2307
