aileronStartX,aileronStartChord,aileronStartHinge,aileronEndHinge,totalAileronArea,aileronSpanPerWingspan,aileronChordPerWingChord
0.743,0.4532,0.5137,0.79,0.1755,0.41,0.21
0.7279,0.457,0.5094,0.79,0.1822,0.42,0.21
0.7127,0.4609,0.5051,0.79,0.1891,0.43,0.21
0.6975,0.4648,0.5009,0.79,0.1961,0.44,0.21
0.6824,0.4686,0.4968,0.79,0.2032,0.45,0.21
0.6672,0.4725,0.4927,0.79,0.2104,0.46,0.21
0.652,0.4764,0.4887,0.79,0.2177,0.47,0.21
0.6369,0.4802,0.4848,0.79,0.2251,0.48,0.21
0.6217,0.4841,0.4809,0.79,0.2327,0.49,0.21
0.6066,0.488,0.4771,0.79,0.2404,0.5,0.21
0.834,0.43,0.5346,0.78,0.1406,0.35,0.22
0.8188,0.4338,0.5298,0.78,0.1467,0.36,0.22
0.8037,0.4377,0.5251,0.78,0.153,0.37,0.22
0.7885,0.4416,0.5205,0.78,0.1594,0.38,0.22
0.7734,0.4454,0.516,0.78,0.1658,0.39,0.22
0.7582,0.4493,0.5116,0.78,0.1724,0.4,0.22
0.743,0.4532,0.5072,0.78,0.1791,0.41,0.22
0.7279,0.457,0.5029,0.78,0.186,0.42,0.22
0.7127,0.4609,0.4987,0.78,0.1929,0.43,0.22
0.6975,0.4648,0.4946,0.78,0.2,0.44,0.22
0.6824,0.4686,0.4905,0.78,0.2072,0.45,0.22
0.6672,0.4725,0.4865,0.78,0.2145,0.46,0.22
0.652,0.4764,0.4825,0.78,0.2219,0.47,0.22
0.6369,0.4802,0.4786,0.78,0.2294,0.48,0.22
0.6217,0.4841,0.4748,0.78,0.2371,0.49,0.22
0.6066,0.488,0.4711,0.78,0.2449,0.5,0.22
0.834,0.43,0.5277,0.77,0.1437,0.35,0.23
0.8188,0.4338,0.523,0.77,0.15,0.36,0.23
0.8037,0.4377,0.5184,0.77,0.1563,0.37,0.23
0.7885,0.4416,0.5139,0.77,0.1628,0.38,0.23
0.7734,0.4454,0.5094,0.77,0.1693,0.39,0.23
0.7582,0.4493,0.505,0.77,0.176,0.4,0.23
0.743,0.4532,0.5007,0.77,0.1828,0.41,0.23
0.7279,0.457,0.4965,0.77,0.1897,0.42,0.23
0.7127,0.4609,0.4923,0.77,0.1968,0.43,0.23
0.6975,0.4648,0.4882,0.77,0.2039,0.44,0.23
0.6824,0.4686,0.4842,0.77,0.2112,0.45,0.23
0.6672,0.4725,0.4802,0.77,0.2186,0.46,0.23
0.652,0.4764,0.4763,0.77,0.2261,0.47,0.23
0.6369,0.4802,0.4725,0.77,0.2337,0.48,0.23
0.6217,0.4841,0.4687,0.77,0.2415,0.49,0.23
0.6066,0.488,0.465,0.77,0.2493,0.5,0.23
0.834,0.43,0.5209,0.76,0.1469,0.35,0.24
0.8188,0.4338,0.5162,0.76,0.1532,0.36,0.24
