sref,cref,bref,rootChord,tipChord,tipPositionX,tipPositionY,taperRatio,sweepAngle
0.1192,0.1925,0.7112,0.2794,0.0559,0.2217,0.3556,0.2,25
0.1301,0.21,0.7112,0.3048,0.061,0.2268,0.3556,0.2,25
0.0991,0.14,0.8128,0.2032,0.0406,0.2301,0.4064,0.2,25
0.1115,0.1575,0.8128,0.2286,0.0457,0.2352,0.4064,0.2,25
0.1239,0.175,0.8128,0.254,0.0508,0.2403,0.4064,0.2,25
0.1363,0.1925,0.8128,0.2794,0.0559,0.2454,0.4064,0.2,25
0.1486,0.21,0.8128,0.3048,0.061,0.2505,0.4064,0.2,25
0.1115,0.14,0.9144,0.2032,0.0406,0.2538,0.4572,0.2,25
0.1254,0.1575,0.9144,0.2286,0.0457,0.2589,0.4572,0.2,25
0.1394,0.175,0.9144,0.254,0.0508,0.264,0.4572,0.2,25
0.1533,0.1925,0.9144,0.2794,0.0559,0.2691,0.4572,0.2,25
0.1672,0.21,0.9144,0.3048,0.061,0.2742,0.4572,0.2,25
0.1012,0.1509,0.7112,0.2032,0.0813,0.1963,0.3556,0.4,25
0.1138,0.1698,0.7112,0.2286,0.0914,0.2001,0.3556,0.4,25
0.1265,0.1887,0.7112,0.254,0.1016,0.2039,0.3556,0.4,25
0.1391,0.2076,0.7112,0.2794,0.1118,0.2077,0.3556,0.4,25
0.1517,0.2264,0.7112,0.3048,0.1219,0.2115,0.3556,0.4,25
0.1156,0.1509,0.8128,0.2032,0.0813,0.22,0.4064,0.4,25
0.1301,0.1698,0.8128,0.2286,0.0914,0.2238,0.4064,0.4,25
0.1445,0.1887,0.8128,0.254,0.1016,0.2276,0.4064,0.4,25
0.159,0.2076,0.8128,0.2794,0.1118,0.2314,0.4064,0.4,25
0.1734,0.2264,0.8128,0.3048,0.1219,0.2352,0.4064,0.4,25
0.1301,0.1509,0.9144,0.2032,0.0813,0.2437,0.4572,0.4,25
0.1463,0.1698,0.9144,0.2286,0.0914,0.2475,0.4572,0.4,25
0.1626,0.1887,0.9144,0.254,0.1016,0.2513,0.4572,0.4,25
0.1788,0.2076,0.9144,0.2794,0.1118,0.2551,0.4572,0.4,25
0.1951,0.2264,0.9144,0.3048,0.1219,0.2589,0.4572,0.4,25
0.1156,0.1659,0.7112,0.2032,0.1219,0.1861,0.3556,0.6,25
0.1301,0.1867,0.7112,0.2286,0.1372,0.1887,0.3556,0.6,25
0.1445,0.2074,0.7112,0.254,0.1524,0.1912,0.3556,0.6,25
0.159,0.2282,0.7112,0.2794,0.1676,0.1938,0.3556,0.6,25
0.1734,0.2489,0.7112,0.3048,0.1829,0.1963,0.3556,0.6,25
0.1321,0.1659,0.8128,0.2032,0.1219,0.2098,0.4064,0.6,25
0.1486,0.1867,0.8128,0.2286,0.1372,0.2124,0.4064,0.6,25
0.1652,0.2074,0.8128,0.254,0.1524,0.2149,0.4064,0.6,25
0.1817,0.2282,0.8128,0.2794,0.1676,0.2174,0.4064,0.6,25
0.1982,0.2489,0.8128,0.3048,0.1829,0.22,0.4064,0.6,25
0.1486,0.1659,0.9144,0.2032,0.1219,0.2335,0.4572,0.6,25
0.1672,0.1867,0.9144,0.2286,0.1372,0.2361,0.4572,0.6,25
0.1858,0.2074,0.9144,0.254,0.1524,0.2386,0.4572,0.6,25
0.2044,0.2282,0.9144,0.2794,0.1676,0.2411,0.4572,0.6,25
0.223,0.2489,0.9144,0.3048,0.1829,0.2437,0.4572,0.6,25
0.1301,0.1836,0.7112,0.2032,0.1626,0.176,0.3556,0.8,25
0.1463,0.2066,0.7112,0.2286,0.1829,0.1772,0.3556,0.8,25
0.1626,0.2295,0.7112,0.254,0.2032,0.1785,0.3556,0.8,25
0.1788,0.2525,0.7112,0.2794,0.2235,0.1798,0.3556,0.8,25
0.1951,0.2754,0.7112,0.3048,0.2438,0.1811,0.3556,0.8,25
0.1486,0.1836,0.8128,0.2032,0.1626,0.1997,0.4064,0.8,25
0.1672,0.2066,0.8128,0.2286,0.1829,0.2009,0.4064,0.8,25
0.1858,0.2295,0.8128,0.254,0.2032,0.2022,0.4064,0.8,25
0.2044,0.2525,0.8128,0.2794,0.2235,0.2035,0.4064,0.8,25
0.223,0.2754,0.8128,0.3048,0.2438,0.2047,0.4064,0.8,25
0.1672,0.1836,0.9144,0.2032,0.1626,0.2234,0.4572,0.8,25
0.1881,0.2066,0.9144,0.2286,0.1829,0.2246,0.4572,0.8,25
0.209,0.2295,0.9144,0.254,0.2032,0.2259,0.4572,0.8,25
0.2299,0.2525,0.9144,0.2794,0.2235,0.2272,0.4572,0.8,25
0.2508,0.2754,0.9144,0.3048,0.2438,0.2284,0.4572,0.8,25
0.1445,0.2032,0.7112,0.2032,0.2032,0.1658,0.3556,1,25
0.1626,0.2286,0.7112,0.2286,0.2286,0.1658,0.3556,1,25
0.1806,0.254,0.7112,0.254,0.254,0.1658,0.3556,1,25
0.1987,0.2794,0.7112,0.2794,0.2794,0.1658,0.3556,1,25
0.2168,0.3048,0.7112,0.3048,0.3048,0.1658,0.3556,1,25
0.1652,0.2032,0.8128,0.2032,0.2032,0.1895,0.4064,1,25
0.1858,0.2286,0.8128,0.2286,0.2286,0.1895,0.4064,1,25
0.2065,0.254,0.8128,0.254,0.254,0.1895,0.4064,1,25
0.2271,0.2794,0.8128,0.2794,0.2794,0.1895,0.4064,1,25
0.2477,0.3048,0.8128,0.3048,0.3048,0.1895,0.4064,1,25
0.1858,0.2032,0.9144,0.2032,0.2032,0.2132,0.4572,1,25
