alpha,CL,CDp
-5,0.1601,0.183
-4,0.2095,0.1638
-3,0.2945,0.1466
-2,0.3833,0.1274
-1,0.5059,0.1066
0,0.6164,0.0897
1,0.7093,0.0806
2,0.7869,0.0794
3,0.8555,0.0787
4,0.928,0.0807
5,0.9936,0.0844
6,1.0554,0.0899
7,1.1216,0.0959
8,1.1895,0.1016
9,1.2478,0.1095
10,1.3005,0.1193
11,1.3518,0.1329
12,1.3976,0.1447
13,1.4435,0.1594
14,1.4785,0.1792
15,1.511,0.2018
