alpha,CL,CD
-5,0.2128,0.1889
-4,0.2218,0.1728
-3,0.2533,0.1579
-2,0.3901,0.1411
-1,0.4809,0.1266
0,0.5699,0.1155
1,0.6618,0.1125
2,0.7435,0.1177
3,0.8169,0.1263
4,0.8883,0.1355
5,0.9501,0.146
6,1.0106,0.16
7,1.0708,0.1742
8,1.13,0.1899
9,1.1849,0.2055
10,1.2345,0.2238
11,1.2824,0.2436
12,1.3275,0.267
13,1.3727,0.2902
14,1.4066,0.3173
15,1.4413,0.3459
