alpha,CL,CD
-5,0.2662,0.1601
-4,0.3446,0.1391
-3,0.4335,0.1233
-2,0.5158,0.1105
-1,0.5995,0.1017
0,0.6802,0.0934
1,0.7571,0.0968
2,0.8353,0.0974
3,0.9118,0.1004
4,0.9873,0.1063
5,1.0602,0.1144
6,1.1294,0.1243
7,1.1995,0.1361
8,1.266,0.1505
9,1.3287,0.1673
10,1.3892,0.1881
11,1.4478,0.2102
12,1.496,0.2378
13,1.5246,0.2716
14,1.5338,0.3146
15,1.5994,0.3548
