alpha,CL,CDp
-5,0.2128,0.1463
-4,0.2218,0.1333
-3,0.2533,0.121
-2,0.3901,0.1044
-1,0.4809,0.0897
0,0.5699,0.0771
1,0.6618,0.07
2,0.7435,0.0694
3,0.8169,0.0713
4,0.8883,0.0734
5,0.9501,0.0769
6,1.0106,0.0829
7,1.0708,0.0887
8,1.13,0.0955
9,1.1849,0.1024
10,1.2345,0.1117
11,1.2824,0.1222
12,1.3275,0.1356
13,1.3727,0.1487
14,1.4066,0.1661
15,1.4413,0.1845
