alpha,CD,CL
-5,0.0253,-0.2022
-4,0.0197,-0.1502
-3,0.0157,-0.1013
-2,0.0129,-0.0537
-1,0.0112,-0.0047
0,0.0106,0.046
1,0.0112,0.0984
2,0.0126,0.1493
3,0.0151,0.2005
4,0.0183,0.2506
5,0.0224,0.2995
6,0.0271,0.3468
7,0.033,0.3948
8,0.0406,0.4461
10,0.0582,0.5394
11,0.0691,0.5841
12,0.0818,0.6268
13,0.0958,0.6656
14,0.1113,0.6982
15,0.1279,0.7255
16,0.1452,0.745
17,0.1655,0.7612
18,0.1923,0.7811
19,0.2223,0.7977
20,0.2379,0.778
