alpha,CD,CL
-5,0.0334,-0.2903
-4,0.0264,-0.219
-3,0.0222,-0.148
-2,0.0199,-0.0762
-1,0.0187,-0.0035
0,0.0186,0.0696
1,0.0194,0.143
2,0.0212,0.2165
3,0.0237,0.2902
4,0.0271,0.3637
5,0.0314,0.4371
6,0.0367,0.5102
7,0.0435,0.5838
8,0.0519,0.6552
9,0.0618,0.7297
10,0.0714,0.7937
11,0.084,0.8543
12,0.1035,0.9014
13,0.127,0.9197
14,0.1591,0.927
15,0.1984,0.9258
