alpha,CD,CL
-5,0.068,0.2662
-4,0.0608,0.3446
-3,0.0563,0.4335
-2,0.0534,0.5158
-1,0.0526,0.5995
0,0.0524,0.6802
1,0.0571,0.7571
2,0.0612,0.8353
3,0.0666,0.9118
4,0.0735,0.9873
5,0.0815,1.0602
6,0.0903,1.1294
7,0.1003,1.1995
8,0.1114,1.266
9,0.1234,1.3287
10,0.1371,1.3892
11,0.1514,1.4478
12,0.1671,1.496
13,0.1835,1.5246
14,0.2016,1.5338
15,0.2245,1.5994
