alpha,CD,CL
-5,0.0836,0.3042
-4,0.077,0.3848
-3,0.071,0.4836
-2,0.0686,0.5818
-1,0.069,0.6828
0,0.0708,0.7708
1,0.0744,0.866
2,0.0816,0.9686
3,0.09,1.0598
4,0.0992,1.1516
5,0.1098,1.2404
6,0.1216,1.3262
7,0.1344,1.4084
8,0.1492,1.4888
9,0.1646,1.5628
10,0.1818,1.6362
11,0.1994,1.7036
12,0.217,1.757
13,0.2352,1.8034
14,0.2538,1.844
15,0.2754,1.8864
