alpha,CD,CL
-5,0.0792,0.2128
-4,0.0728,0.2218
-3,0.0672,0.2533
-2,0.0628,0.3901
-1,0.0593,0.4809
0,0.0577,0.5699
1,0.06,0.6618
2,0.0657,0.7435
3,0.0728,0.8169
4,0.0804,0.8883
5,0.0883,0.9501
6,0.0978,1.0106
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
