      1         0       0
0.99726         0 0.00004
0.98907         0 0.00019
0.97553         0 0.00052
0.95677         0 0.00114
0.93301         0 0.00224
0.90451         0 0.00399
0.87157         0 0.00657
0.83457         0 0.01008
0.79389         0 0.01454
   0.75         0 0.01985
0.70337         0 0.02583
0.65451         0 0.03231
0.60396         0   0.039
0.55226         0 0.04557
    0.5         0 0.05166
0.44774         0 0.05696
0.39604         0 0.06113
0.34549         0 0.06398
0.29663         0 0.06541
   0.25         0 0.06532
0.20611         0 0.06371
0.16543         0 0.06055
0.12843         0 0.05595
0.09549         0    0.05
0.06699         0 0.04284
0.04323         0 0.03469
0.02563         0 0.02646
0.01359         0 0.01875
0.00611         0 0.01216
0.00264         0 0.00785
0.00059         0 0.00359
      0         0       0
0.00068         0-0.00232
0.00298         0-0.00452
 0.0066         0-0.00662
0.01232         0-0.00889
0.02416         0-0.01193
0.04323         0-0.01487
0.06699         0-0.01711
0.09549         0-0.01896
0.12843         0-0.02043
0.16543         0-0.02157
0.20611         0-0.02237
   0.25         0-0.02276
0.29663         0-0.02281
0.34549         0 -0.0225
0.39604         0-0.02183
0.44774         0-0.02085
    0.5         0-0.01962
0.55226         0-0.01818
0.60396         0-0.01657
0.65451         0-0.01489
0.70337         0-0.01317
   0.75         0-0.01147
0.79389         0-0.00979
0.83457         0 -0.0082
0.87157         0 -0.0067
0.90451         0 -0.0053
0.93301         0-0.00398
0.95677         0-0.00271
0.97553         0-0.00156
0.98907         0-0.00068
0.99726         0-0.00016
      1         0       0
